Title,Author,Price
"The Common Sense of World Peace; an address delivered in the Reichstag at Berlin, on Monday, April 15th, 1929",Wells (H.G.).,US$ 101.82
"Democracy Under Revision; a lecture delivered at the Sorbonne on March 15th, 1927",Wells (H.G.).,US$ 108.61
PSYCHO-ANALYSIS OF THE NEUROSES,"DEUTSCH,DR. HELENE",US$ 17.50
The Backward Son (In Superb Condition),"Spender, Stephen",US$ 510.73
Noah and the Waters,"Day Lewis, C.",US$ 32.40
The Golden Ass of Lucius Apuleius,"Apuleius; William Adlington, Translator; F. J. Harvey Darton, Editor;",US$ 60.00
Poems,"Allott, Kenneth",US$ 40.00
"Composition As Explanation (Hogarth Essays, Second Series)",Gertrude Stein,US$ 175.00
WHITE CAPITAL & COLOURED LABOUR.,Lord Olivier,US$ 22.18
Aftermath,"Trevelyan, R. C.",US$ 50.00
A ROOM OF ONE'S OWN,"WOOLF, Virginia","US$ 9,375.00"
Pharos and Pharillon,"Forster, E. M.",US$ 38.79
The Writings of E. M. Forster.,Rose Macaulay.,US$ 34.91
The Memorial. Portrait of a Family.,Christopher Isherwood,US$ 50.00
Collected Papers Vol. II,"Freud, Sigmund",US$ 32.32
Monday or Tuesday,Virginia Woolf,"US$ 2,000.00"
The Judgement of François Villon. A Pageant-Episode in Five Acts. (SIGNED),HERBERT EDWARD PALMER,US$ 96.97
The Satyricon of Petronius Arbiter,Petronius Arbiter; Oscar Wilde,US$ 125.00
The Course of Engish Classicism,"Vines, Sherard",US$ 12.93
To a Proud Phantom,"Limebeer, Ena",US$ 850.00
"Daylight, Volume I (European Arts and Letters Yesterday, Today, Tomorrow)","Journal. Contributions by Stephen Spender, George Seferis, David Gascoyne, Karel Brusak, John Lehmann, Pantelis Prevelakis, Jiri Mucha, Frantisek Halas, V. S. Pritchett, et al.",US$ 36.30
"Satyricon, in the translation attributed to Oscar Wilde","Petronius Arbiter, with an Introduction by Oscar Wilde",US$ 24.20
The Common Reader. Second Series,"Woolf, Virginia",US$ 50.83
"Collected Poems: 1929-1933: Transitional Poem, From Feathers to Iron, The Magnetic Mountain","LEWIS, C. Day",US$ 20.00
"Collected Poems: 1929-1933: Transitional Poem, From Feathers to Iron, The Magnetic Mountain","LEWIS, C. Day",US$ 50.00
ENGLAND'S PLEASANT LAND,"Forster, E. M.",US$ 69.00
On the Nightmare,"Jones, Ernest",US$ 45.00
Moses and Monotheism,"Freud, Sigmund",US$ 70.00
On the Nightmare,"Jones, Ernest",US$ 55.00
On Being Ill,"Woolf, Virginia","US$ 8,500.00"
Jacob's Room,"Woolf, Virginia","US$ 2,000.00"
Transitional Poem,"Day Lewis, Cecil",US$ 71.11
Aftermath,"Trevelyan, R.C.",US$ 45.00
Reviewing. With a Note by Leonard Woolf.,Virginia Woolf.,US$ 55.44
Collected poems,"Sackville-West, V.",US$ 150.00
A time to dance and other poems.,"Lewis, C. Day",US$ 12.93
The Judgment of Francois Villon a Pageant-Episode Play in Five Acts,Herbert Edward Palmer,US$ 55.60
The Common Reader: Second Series,"Woolf, Virginia",US$ 210.00
Three Guineas,"Woolf, Virginia",US$ 200.00
A LETTER TO MADAN BLANCHARD,"Forster, E. M.",US$ 51.75
Sally Bowles,"Isherwood, Christopher",US$ 250.00
The Satyricon of Petronius Arbiter,"ARBITER, Petronius",US$ 25.00
DARWIN.,"Pekin, L.B.",US$ 28.75
Selected Poems,"DAY LEWIS, C.",US$ 38.50
